text,speaker
"Ah thank you very much. Thank you. Thank you Fayetteville and North Carolina thank you very much. Tomorrow we are going to win this state and we are going to win four more years in our great white house. With your vote we will continue to cut your taxes, cut regulations, support our great police, support our fantastic military, care for our Veterans, protect your second amendment, defend religious liberty, and ensure more products are proudly stamped with that wonderful phrase ""Made in the USA"". Next year will be the greatest economic year in the history of our country.",Donald Trump
Under my leadership our economy is now growing at the fastest rate ever recorded; 33.1%. Just announced last week. We created a record 11.4 million jobs in the last five months. It's a number that we never even thought possible. Nobody did. Nobody thought it was possible and now we're going to do better than that.,Donald Trump
It's going very rapidly. While foreign nations are in a free fall; you see what's going on with so many nations in Europe unfortunately. I say that with sadness. We are creating an economic powerhouse unrivaled anywhere in the world. A recent data poll found the 56% of Americans found they are better off today than they were four years ago under Obama and Biden.,Donald Trump
"You gotta remember that, you gotta remember that kind of thing. They didn't do a good job. In fact if they did I wouldn't have run. If they did I wouldn't be here right now. They did a bad job and Obama, he went out yesterday with Biden. They got like 14 people. They didn't have to many. They didn't have to good a crowd and we have five of these today, five.",Donald Trump
"We have some big ones. Thank you. Thank you, Thank you very much, thank you, thank you very much. Thank you and I love you too, and I appreciate that. We appreciate it. I was, I was thinking coming in because I watch these state polls, every one. No matter, if we're up by 10, if we know we're going to win easily ""he's down by one point, he's down by one"". Uh, I just watched this fake stuff and I'm saying to myself ""You know, we've been under a phonie, fake, hoax investigation for three years."" Nothing but bad and really corrupt publicity from these people.",Donald Trump
"And I say ""I wonder what the difference would have been if it had been legit"" and it turned out to be just the opposite. They were the ones that committed the crimes, not us . But I wonder what it would've been? It probably would've been a little bit easier but you know the good news, we're going to win anyway.",Donald Trump
"We're going to shove it, we're going to win anyway. I wonder what it would've been. I wonder what it would've been if all of the nonsense wasn't brought up. [Audience chants ""Four more years""] Thank you very much. Thank you very much. Looking tremendous in Florida so of course they don't mention that. You know, Florida the, we are looking good.",Donald Trump
"We're really looking good all over in the real polls not the Fox polls. Those Fox polls, somebody at Fox doesn't like me very much I can tell you. They are the phoniest [Inaudible]. They were, they were almost as bad four years ago. Actually they were worse but you get some of these pollsters, they work magic and the amazing thing is that they hang on to their jobs.",Donald Trump
"They do horribly, look at what they did last week. I had nine states, I had to win em' all and they said I was going to lose all nine. Four years ago, I was going to lose all nine it was going to be a very short evening for Donald Trump. And the polls said decisively I was gonna lose all nine. And that was a day before.",Donald Trump
"And I won all nine. I wo -- No, I won 'em all. Or I wouldn't be here right now. No, I won all nine. It said, we're gonna lose all nine, and it was quite depressing as I turned on the television. Let's see how we did. ""He won Florida. He won South Caroli-"" You know what I'm saying? What to do with this? No, but thank you.",Donald Trump
